"Име на фирма","Седалище","Дейности","Адрес на аптека - град","Адрес на аптека","Дата","№/№ промяна","Адрес на управление","Ръководител","пом.-фарм.","latitude","longitude"
"","","","гр. Рудозем","ул. Стефан Стамболов 4","1997-05-03T00:00:00","733-НА","","Община Рудозем с ЕООД Фарма - палас   ръководител Анастасия Димова Стайкова","пом.-фарм.","41.4870546","24.847786"
"","","","с. Алфатар","ул. Дочо Михайлов","1997-03-26T00:00:00","790-НА","","Община Алфатар с ЕООД Здраве   ръководител Иванка Петкова Рачкова","","43.9458522","27.2865748"
"","","","гр. София","ул. Прачевич 62","1997-03-26T00:00:00","793-НА","","Цветанка Христова Катранджиева","","42.6977082","23.3218675"
"","","","гр. София","ж.к. Дружба 1, бл. 67, вх. А","1997-03-26T00:00:00","797-НА","","Цветанка Игнатова Хаджимитова","","42.6610899","23.3973124"
"","","","гр. Малко Търново","ул. България 28","1997-07-04T00:00:00","837-НА","","Община Малко Търново с ЕООД Хипократ 96  ръководител Радостина Д. Гайдажиева","пом.-фарм.","41.9797938","27.5250475"
"","","","гр. Троян","ул. Радецки 30","1997-05-19T00:00:00","845-НА","","Община Троян с ЕООД Фарма - 96 - Троян  ръководител Северина Борисова Игнатова","","42.8916335","24.7085356"
"""МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ- ИСПЕРИХ"" ЕООД","гр. Исперих 7400, област Разград","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура","гр. Исперих","ул. ""Ахинора"" № 39","2012-08-22T00:00:00","863-НА-1","ул. ""Ахинора"" № 39","Иван Маринов Йотов","","43.7162095","26.8307163"
"","","","гр. Нова Загора","ул. Любен Каравелов 46","1997-05-20T00:00:00","903-НА","","Величка Динева Радулова","","42.4936347","26.0085439"
"","","","гр. София","ул. Хемус 11","1997-08-07T00:00:00","920-НА","","Райничка Димитрова Баличева","","42.6842801","23.3556332"
"","","","гр. Мадан","сградата на болницата, ул. Перелик 2","1997-07-22T00:00:00","953-НА","","РБ Проф. Д-р К. Чилов  ръководител Тодорка Христова Вуцова","","41.4985802","24.9399327"
"","","","гр. Момчилград","ул. Кокиче 2","1997-07-22T00:00:00","964-НА","","Община Момчилград с ЕООД Фарма - М - 96   ръководител Александър К. Александров","","41.5272762","25.4093944"
"","","","гр. София","ул. Острец 39","1997-07-22T00:00:00","966-НА","","Елинка Йорданова Найденова","","42.6916832","23.36272"
"","","","гр. Пловдив","ул. Беласица 44","1997-08-18T00:00:00","972-НА","","Иван Григоров Шиклов","","42.1389459","24.7579028"
"","","","гр. Бургас","бул. Демокрация 96","1997-03-09T00:00:00","1034-НА","","Марийка Стоянова Русева","","42.5022359","27.4758932"
"","","","гр. Тополовград","ул. България 49","1997-12-09T00:00:00","1052-НА","","Община Тополовград с ЕООД Топфарма ЕООД   ръководител Кирилка Спасова Зографова","","42.08441879999999","26.3403175"
"","","","гр. Ямбол","ул. Никола Петрини 27","1997-03-10T00:00:00","1092-НА","","Аракси Зохраб Стоянова","","42.48419990000001","26.5035023"
"","","","гр. София","ж.к. Надежда, бл. 632, вх. Д","1997-03-10T00:00:00","1099-НА","","Стефан Савов Бакалов","","42.7367146","23.2922409"
"","","","гр. София","бул. Възкресение 9","1999-01-29T00:00:00","1972-НА","","Стефка Ноева Раева","","42.6946176","23.2910963"
"","","","гр. Криводол","ул. Ленин 28","1997-10-16T00:00:00","1105-НА","","Община Криводол с ЕООД Общинска аптека Криводол   ръководител Георги Димитров Георгиев","","43.3682573","23.4751109"
"","","","гр. София","ул. Рачо Димчев 10","1997-09-12T00:00:00","1191-НА","","Корнелия Цачева Захариева","","42.6906465","23.3232848"
"","","","гр. София","бул. Сливница 229","1997-09-12T00:00:00","1194-НА","","Румяна Василева Спасова","","42.7054707","23.3222537"
"","","","гр. Перник","ул. Струма 33","1998-01-30T00:00:00","1255-НА","","Росита Иванова Николова","","42.6005637","23.0220873"
"","","","гр. Варна","ул. Добротица 20","1998-11-02T00:00:00","1280-НА","","Надежда Бончева Станева","","43.2049537","27.8992791"
"","","","с. Обзор","ул. Черноморска 5","1998-02-17T00:00:00","1308-НА","","Община Несебър с ЕООД Аптеки Несебър   ръководител Сийка Борисова Томова","","42.8182188","27.8844167"
"","","","гр. София","пл. Славейков 2","1998-03-19T00:00:00","1365-НА","","КД Петър Платнаров  ръководител Петър Василев Платнаров","","42.6920542","23.3235442"
"","","","гр. Пловдив","ул. П. Каравелов 6","1998-03-19T00:00:00","1371-НА","","СД Ескулап 97 - Василев и сие  ръководител Пламен Паунов Стоянов","","42.1486264","24.7464552"
"","","","гр. Пловдив","бул. Никола Вапцаров 55","1998-01-04T00:00:00","1378-НА","","Елина Иванова Кръстева","","42.1229323","24.7439819"
"","","","гр. Добрич","ул. Явор 11 А","1998-09-04T00:00:00","1387-НА","","Евгения Николова Сербезова","","43.5693242","27.8189511"
"","","","гр. Стара Загора","бул. Св. Патриарх Евтимий 86","1998-04-13T00:00:00","1404-НА","","Мария Петкова Захариева-Кемалова","","42.4239951","25.6354609"
"","","","гр. София","ул. Св. Наум 9","1998-04-13T00:00:00","1410-НА","","Иванка Кирилова Болюкова","","42.67840200000001","23.3239861"
"","","","гр. София","ул. Хризантема 18-20","1998-04-13T00:00:00","1413-НА","","Марияна Николова Михайлова","","42.68022759999999","23.2845631"
"","","","гр. София","ул. Оборище 127","1998-04-17T00:00:00","1428-НА","","Елена Радева Петрова","","42.6932947","23.3542217"
"","","","гр. Айтос","ул. Шейново 4","1998-08-05T00:00:00","1475-НА","","Община Айтос с ЕООД Авицена   ръководител Румяна Николова Василева","","42.7031175","27.250644"
"","","","гр. Созопол","ул. Аполония 2","1998-05-13T00:00:00","1501-НА","","Община Созопол с ЕООД Созопол   ръководител Донка Христова Йотова","","42.422842","27.6940933"
"","","","гр. Русе","ул. Плиска, бл. Плиска, вх. Г","1998-03-06T00:00:00","1531-НА","","Виолета Цветанова Милчева","","43.83557130000001","25.9656554"
"","","","гр. Каварна","ул. Добротица 31","1998-06-24T00:00:00","1570-НА","","Община Каварна с ЕООД Иван Х. Василев   ръководител Радка Демирева Енчева","","43.4355117","28.3393461"
"","","","гр. София","бул. Александър Стамболийски 32","1998-06-07T00:00:00","1587-НА","","Румяна Стойнова Иванова","","42.6972335","23.3182568"
"","","","гр. Сливен","ж.к. Сини камъни, северно от бл. 20","1998-06-07T00:00:00","1592-НА","","Екатерина Димитрова Станкова","","42.6816536","26.3228685"
"","","","гр. София","ул. Криволак 34-38","1998-07-16T00:00:00","1604-НА","","Славчо Симеонов Николов","","42.6812749","23.3255563"
"","","","гр. София","ул. Цар Иван Асен 87","1998-07-16T00:00:00","1612-НА","","Илияна Тодорова Караджова","","42.6866627","23.3490039"
"","","","гр. София","ул. Граф Игнатиев 40 А","1998-07-31T00:00:00","1641-НА","","Лили Атанасова Кавалджиева","","42.68996509999999","23.3264348"
"","","","гр. Плевен","ж.к. Дружба, бл. 311, вх. 3","1998-07-31T00:00:00","1642-НА","","Антон Методиев Кунчев","","43.40687579999999","24.6443705"
"","","","гр. София","ул. Гео Милев, бл. 1, вх. Г","1998-12-08T00:00:00","1658-НА","","Величка Илиева Николова","","42.6864929","23.3538387"
"","","","гр. Трън","ул. Георги Димитров 26","1998-08-17T00:00:00","1669-НА","","Маргарита Петрова Дойчинова","","42.8343426","22.6503696"
"","","","гр. София","ул. Пиротска 71","1998-08-17T00:00:00","1671-НА","","Живка Григорова Кемалова","","42.70108889999999","23.3101988"
"","","","гр. Велико Търново","ул. Никола Габровски 42 Д","1998-08-17T00:00:00","1675-НА","","Тинка Стоянова Радославова","","43.0751264","25.6184772"
"","","","гр. София","ул. Никола Петков 2","1998-08-19T00:00:00","1695-НА","","Анета Асенова Цоцова","","42.658591","23.4579536"
"","","","гр. Пловдив","ул. Ген. Д. Николаев 108","1998-08-26T00:00:00","1697-НА","","Цветана Величкова Апостолова","","42.1447724","24.7281028"
"","","","гр. София","ж.к. Дружба, бл. 101","1998-09-24T00:00:00","1717-НА","","Цецка Данова Савова","","42.6669557","23.3878895"
"","","","гр. Варна","ул. Дрин 45, вх. А","1998-09-28T00:00:00","1722-НА","","Асенка Илиева Колева","","43.2092227","27.9048618"
"","","","гр. София","ул. Княз Борис I 94","1998-07-10T00:00:00","1737-НА","","Виолета Стефанова Карчева","","42.6933897","23.3179107"
"","","","гр. София","бул. Македония 9","1998-07-10T00:00:00","1739-НА","","СД Евели - Калоянова и с-ие  ръководител Лилия Николова Калоянова","","42.6937468","23.3138434"
"","","","гр. София","ж.к. Младост 4, бл. 435, вх. В","1998-11-25T00:00:00","1813-НА","","Живка Христова Желязкова","","42.6309955","23.376189"
"","","","гр. София","бул. България 52","1998-10-12T00:00:00","1845-НА","","Рада Димитрова Губерова","","42.6706051","23.2926132"
"","","","гр. София","ул. Университетска 2","1999-01-15T00:00:00","1916-НА","","Лилия Христова Кунчева","","42.6833885","23.3305196"
"","","","гр. София","бул. П. Славейков 27","1999-01-15T00:00:00","1934-НА","","Йорданка Христова Петкова","","42.6861241","23.3118072"
"","","","гр. Габрово","ул. Орловска 59","1999-01-15T00:00:00","1938-НА","","Емилия Владимирова Цокева","","42.8771018","25.3199175"
"","","","гр. София","ж.к. Вълчо Иванов, бл. 306","1999-02-22T00:00:00","2019-НА","","Снежанка Петкова Саламанова","","42.6977082","23.3218675"
"","","","гр. Пловдив","сградата на диспансера, бул. Руски 86","1999-02-22T00:00:00","2022-НА","","Психиатричен диспансер  ръководител Маргарита Проданова Алексова","","42.1380808","24.7416174"
"","","","гр. Казанлък","ул. Гладстон 90 А","1999-02-22T00:00:00","2029-НА","","Антоанета Цанева Петкова","","42.62210049999999","25.3785369"
"","","","гр. София","ж.к. Овча купел, бл. 411","1999-03-24T00:00:00","2083-НА","","СД Росияна - Илиева и Чанева  ръководител Росица Венева Илиева","","42.7179094","23.2415971"
"","","","гр. Стара Загора","ул. Генерал Столетов 133","1999-03-24T00:00:00","2093-НА","","Красимира Василева Дикова","","42.4293462","25.6320363"
"","","","гр. София","бул. Патриарх Евтимий 22","1999-03-24T00:00:00","2107-НА","","Зоя Георгиева Димитрова-Йорданова","","42.6885689","23.3255047"
"","","","гр. София","бул. Горнобански 80, бл. 41","1999-03-26T00:00:00","2111-НА","","Даниела Спасова Спасова","","42.6905761","23.2775545"
"","","","гр. Ямбол","ул. Търговска 58","1999-03-26T00:00:00","2114-НА","","Елена Мирчева Даскалова","","42.4814765","26.5130026"
"","","","гр. София","ж.к. Люлин, бл. 706, вх. А","1999-03-26T00:00:00","2118-НА","","Петранка Иванова Медарова","","42.7130958","23.2645477"
"","","","гр. Гоце Делчев","сградата на болницата, ул. Стара планина 54","1999-07-04T00:00:00","2131-НА","","ОБ Иван Скендеров   ръководител Елена Благоева Джорджева","","41.5751545","23.7384232"
"","","","гр. Варна","ул. Марко Балабанов 5","1999-04-19T00:00:00","2171-НА","","Елка Любенова Цонева","","43.2051741","27.9181557"
"","","","гр. София","ж.к. Люлин, бл. 030, вх. Д","1999-04-19T00:00:00","2183-НА","","Роза Ахметовна Борисова","","42.7264808","23.2547676"
"","","","гр. Девин","ул. Освобождение 58","1999-04-19T00:00:00","2188-НА","","Община Девин с ЕООД Фармадев   ръководител Роска Стоилова Марудинска","","41.7429109","24.3915387"
"","","","гр. Варна","ул. Граф Игнатиев 42","1999-10-05T00:00:00","2216-НА","","Адриана Стефанова Попова","","43.2003417","27.9206184"
"","","","гр. Бургас","ж.к. Меден рудник, бл. 487, вх. Г","1999-05-26T00:00:00","2221-НА","","Петранка Драгомирова Първанова","","42.4606229","27.4131217"
"","","","гр. Брезник","ул. Георги Бонджулов 6","1999-05-26T00:00:00","2225-НА","","Община Брезник с ЕООД Брезник фарм   ръководител Кръстинка Спасова Иванова","","42.7412596","22.9080799"
"","","","гр. Сливен","ул. Хаджи Димитър 23","1999-01-06T00:00:00","2270-НА","","Маргарита Петрониева Петрова","","42.6779818","26.3194733"
"","","","гр. София","ул. Березина 2","1999-01-06T00:00:00","2275-НА","","Пенка Стоянова Младенова","","42.71468770000001","23.3454815"
"","","","гр. Разград","сградата на болницата, ул. Коста Петров 2","1999-06-17T00:00:00","2359-НА","","ОРБ - Разград","","43.5315607","26.5349563"
"","","","гр. София","ул. Драгалевска 13","1999-06-24T00:00:00","2382-НА","","Нели Стефанова Кръстева","","42.6697222","23.3212241"
"","","","гр. Айтос","сградата на болницата, ул. Шейново 4","1999-01-07T00:00:00","2386-НА","","ОБ - Айтос  ръководител Румяна Николова Василева","","42.7031175","27.250644"
"","","","гр. Ловеч","ул. Княз Имеретински 40","1999-06-07T00:00:00","2408-НА","","Румяна Колева Панчева - Коева","","43.1386397","24.7116918"
"","","","гр. Варна","бул. Сливница 131","1999-07-15T00:00:00","2428-НА","","Петранка Кирилова Станева","","43.214166","27.9066013"
"","","","гр. София","ул. Тунджа 48","1999-07-15T00:00:00","2452-НА","","Гергана Динева Константинова","","42.6854356","23.3138217"
"","","","гр. София","бул. Европа 99","1999-07-10T00:00:00","2551-НА","","Весела Станкова Захариева","","42.72512870000001","23.2646953"
"","","","гр. София","ж.к. Младост 1, спирка бл. 43","1999-12-10T00:00:00","2558-НА","","Мария Христова Ценова","","42.6977082","23.3218675"
"","","","гр. Пазарджик","ул. Свети Архангел 19","1999-12-10T00:00:00","2563-НА","","Цветанка Георгиева Димитрова","","42.1927654","24.3335662"
"","","","гр. София","ул. Подполковник Калитин, бл. 24, вх. А","1999-10-19T00:00:00","2580-НА","","Лидия Владова Пекова","","42.7125711","23.3086221"
"","","","гр. София","бул. Мария Луиза 83","1999-10-19T00:00:00","2593-НА","","Меглена Владимирова Станкова","","42.7041685","23.3232408"
"","","","гр. София","ж.к. Младост, бл. 56","1999-10-26T00:00:00","2610-НА","","Елена Димитрова Лесева","","42.6487314","23.3759169"
"","","","гр. София","ул. Елемаг 17, бл. 308","1999-12-11T00:00:00","2672-НА","","Мария Асенова Комитова","","42.668464","23.3454506"
"","","","гр. София","ж.к. Младост 1, бл. 64, вх. Б","1999-03-12T00:00:00","2709-НА","","Георги Иванов Шиндаров","","42.6560208","23.3812079"
"","","","гр. София","ул. Балша 5, бл. 6","1999-08-12T00:00:00","2740-НА","","Любов Георгиева Стоичкова","","42.6802899","23.3086163"
"","","","гр. София","ул. Д. Груев 32","1999-08-12T00:00:00","2743-НА","","Милка Иванова Христова","","42.6946927","23.3104181"
"","","","гр. София","бул. Владимир Вазов, бл. 208","2000-01-13T00:00:00","2794-НА","","Мартина Стойчева Стойкова","","42.7097589","23.3772245"
"","","","гр. София","ул. Охридско езеро, бл. 12 А","2000-01-18T00:00:00","2802-НА","","Ирина Руменова Славова","","42.6933109","23.2987082"
"","","","гр. Пловдив","ж.к. Тракия, бл. 171, вх. Е","2000-01-18T00:00:00","2807-НА","","Надежда Михайлова Семерджиева","","42.1307218","24.7817756"
"","","","гр. София","бул. Скобелев 77-Б","2000-01-20T00:00:00","2821-НА","","Константин Веселинов Попов","","42.6916316","23.3106824"
"","","","гр. Пловдив","ул. Чернишевски 1","2000-01-27T00:00:00","2836-НА","","Мария Василева Станчева","","42.1441474","24.7254229"
"","","","гр. Оряхово","ул. Александър Стамболийски 50","2000-01-27T00:00:00","2850-НА","","Малина Атанасова Ангелова","","41.9211532","26.1574041"
"","","","гр. Димитровград","ул. Трети март 9 А","2000-02-02T00:00:00","2865-НА","","Надежда Радева Колева","","42.0567922","25.5867791"
"","","","гр. София","ул. Алеко Константинов 49","2000-03-02T00:00:00","2880-НА","","Анка Янева Гълъбинова","","42.6977732","23.3488804"
"","","","гр. Велики Преслав","ул. Любен Каравелов 51","2000-04-02T00:00:00","2890-НА","","ОБ - Велики Преслав  ръководител Петър Иванов Петров","","43.1626803","26.8200005"
"","","","гр. Силистра","сградата на болницата (ул. Петър Мутафчиев 80)","2000-04-02T00:00:00","2932-НА","","ОРБ - Силистра  ръководител Маринка Тодорова Георгиева","","44.1108033","27.2644729"
"","","","с. Микрево","общ. Струмяни","2000-04-02T00:00:00","2973-НА","","Сийка Иванова Златкова","","41.6228378","23.1962535"
"","","","гр. София","бул. Патриарх Евтимий 92","2000-04-02T00:00:00","2982-НА","","Петя Стефанова Андреева","","42.6895449","23.3149557"
"","","","гр. София","кв. Нови Искър, ул Равнец 1","2000-05-15T00:00:00","3046-НА","","Христина Стоянова Борисова","","42.789901","23.3304172"
"","","","гр. Стара Загора","ул. Генерал Столетов 0","2000-09-06T00:00:00","3101-НА","","РБ Проф. Д-р Ст. Киркович  ръководител Милка Цветанова Генкова","","42.4260211","25.6113352"
"","","","гр. София","ж.к. Надежда 4, бл. 444, вх. В","2000-06-16T00:00:00","3120-НА","","Цветанка Игнатова Хаджимитова","","42.7360662","23.3038376"
"","","","гр. София","бул. Димитър Несторов, бл. 122","2000-04-07T00:00:00","3142-НА","","Петър Стефанов Атанасов","","42.6977082","23.3218675"
"ЕТ ГЕОРГИ ГЕРОВ","гр. Шумен","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Шумен","ул. Александър Стамболийски 24","2000-04-07T00:00:00","3150-НА","пл. Александър Стамболийски 24","Георги Дончев Геров","","43.2675407","26.9297397"
"","","","гр. Силистра","ул. Симеон Велики 54 А","2000-04-07T00:00:00","3156-НА","","Ирина Владимировна Стефанова","","44.1193641","27.2632587"
"","","","гр. София","ж.к. Люлин 1, бл. 027, вх. А, ап. 1","2000-04-07T00:00:00","3170-НА","","Илияна Петрова Вълчева","","42.7290534","23.2490991"
"","","","гр. Провадия","ул. Георги Димитров 1","2000-04-07T00:00:00","3179-НА","","Иванка Калева Йорданова","","43.18368299999999","27.4415559"
"","","","гр. Първомай","ул. Орфей, бл. 2","2000-04-07T00:00:00","3184-НА","","Елена Петкова Йорданова","","42.0969057","25.2204628"
"","","","с. Кривина","ул. Демокрация 2","2000-04-07T00:00:00","3193-НА","","Цветана Михайлова Филипова","","42.6807956","23.4653187"
"","","","гр. Велики Преслав","ул. Шипка 1","2000-04-07T00:00:00","3196-НА","","Еленка Вичева Ангелова","","43.1645409","26.8179675"
"","","","гр. Видин","ул. Цар Симеон Велики 42","2000-04-07T00:00:00","3214-НА","","Цветанка Йосифова Еленкова","","43.9901139","22.8741895"
"","","","гр. София","ж.к. Дървеница, ул. 31-ви януари 3","2000-04-07T00:00:00","3220-НА","","Ангел Любенов Георгиев","","42.6977082","23.3218675"
"","","","гр. Стара Загора","ул. Х. Д. Асенов 140","2000-04-07T00:00:00","3233-НА","","Кичка Динева Ковачева","","42.4310482","25.6228973"
"","","","гр. Велико Търново","ул. Ален мак 6, вх. А","2000-04-07T00:00:00","3253-НА","","Стефанка Петкова Денчева","","43.07979900000001","25.6122409"
"","","","гр. София","ж.к. Обеля, бл. 277, ап. 1","2000-04-07T00:00:00","3266-НА","","Тихомир Георгиев Георгиев","","42.743578","23.2808753"
"","","","гр. Русе","ул. Цар Асен 30","2000-04-07T00:00:00","3270-НА","","Румяна Митева Сиракова","","43.8414721","25.9589408"
"","","","гр. Разград","ул. Марица 2","2000-04-07T00:00:00","3274-НА","","Лиляна Колева Славчева - Петрова","","43.5269602","26.521531"
"","","","гр. София","ул. Хайдушко изворче, бл. 41, вх. В","2000-04-07T00:00:00","3277-НА","","Иванка Иванова Лишкова","","42.6802257","23.2791806"
"","","","с. Ясен","общ. Плевен","2000-04-07T00:00:00","3283-НА","","Емилия Николова Желязкова","пом.-фарм.","43.4244912","24.5219225"
"""МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ- Д-Р АТАНАС ДАФОВСКИ"" АД","гр. Кърджали 6600","Разрешение за откриване на аптека на лечебно заведение за болнична помощ, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Кърджали","ул. Беломорски № 53","2011-02-11T00:00:00","3308-НА-1","бул. ""Беломорски"" № 53","Весела Момчилова Топчиева","","41.6463383","25.375424"
